ISBN,title,authors,books_count
902434025587,Siddhartha,"Hermann Hesse, Hilda Rosner",1714
903053159448,In Cold Blood,Truman Capote,246
904905874482,Beautiful Creatures,"Kami Garcia, Margaret Stohl",184
906385528111,Clockwork Angel,Cassandra Clare,972
906721687781,Matilda,"Roald Dahl, Quentin Blake",223
906874361061,The Night Circus,Erin Morgenstern,119
908079744731,The Other Boleyn Girl,Philippa Gregory,103
912051882591,Uglies,Scott Westerfeld,242
914172463927,A Dance with Dragons,George R.R. Martin,119
915369672853,The Lord of the Rings,J.R.R. Tolkien,111
916800643076,Wild: From Lost to Found on the Pacific Crest Trail ,Cheryl Strayed,98
917074633836,Watchmen,"Alan Moore, Dave Gibbons, John Higgins",115
917170610920,The Name of the Wind,Patrick Rothfuss,380
917214757920,Outliers: The Story of Success,Malcolm Gladwell,101
918278559013,"Moby Dick; or, The Whale","Herman Melville, Andrew Delbanco, Tom Quirk",90
919194935251,The Guernsey Literary and Potato Peel Pie Society,"Mary Ann Shaffer, Annie Barrows",123
919840345432,Fight Club,Chuck Palahniuk,120
921249583767,Dead Until Dark,Charlaine Harris,1823
924341086249,The Color Purple,Alice Walker,116
925505106798,Marley & Me: Life and Love with the World's Worst Dog,John Grogan,162
925731215632,Ten Little Niggers,Agatha Christie,109
926250186881,The Lost Symbol,Dan Brown,155
927264029629,"Hush, Hush",Becca Fitzpatrick,119
930983990032,Beautiful Disaster,Jamie McGuire,474
932127477941,A Christmas Carol,Charles Dickens,208
933208274043,Interview with the Vampire,Anne Rice,91
933584236718,The Selection,Kiera Cass,85
935459915881,One for the Money,Janet Evanovich,2380
936696312731,The Immortal Life of Henrietta Lacks,Rebecca Skloot,189
937074315558,The Silence of the Lambs,Thomas Harris,93
937431644620,Vampire Academy ,Richelle Mead,109
939880578157,Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,66
941267876592,Atonement,Ian McEwan,187
944954780075,Die Verwandlung,"Franz Kafka, Stanley Corngold",132
945869777296,The Titan's Curse,Rick Riordan,116
946865273002,Ready Player One,Ernest Cline,155
952250324309,The Art of Racing in the Rain,Garth Stein,1316
953029415448,"The Devil in the White City: Murder, Magic, and Madness at the Fair that Changed America","Erik Larson, Tony Goldwyn",94
957946812466,Bared to You,Sylvia Day,112
958216852840,The Chronicles of Narnia,"C.S. Lewis, Pauline Baynes",90
960754601305,Twilight: The Complete Illustrated Movie Companion,Mark Cotta Vaz,70
961396611899,"A Child Called ""It"": One Child's Courage to Survive",Dave Pelzer,96
962231071923,The Bourne Identity,Robert Ludlum,270
962254761696,Artemis Fowl,Eoin Colfer,20
966255303130,Fallen,Lauren Kate,74
970081574093,East of Eden  ,John Steinbeck,143
971415010347,Dark Places,Gillian Flynn,163
972695034745,The Client,John Grisham,97
975919774756,The Nanny Diaries,"Emma McLaughlin, Nicola Kraus",81
976264206354,Alice's Adventures in Wonderland,"Lewis Carroll, John Tenniel, Martin Gardner",131
976649328780,Persuasion,"Jane Austen, James Kinsley, Deidre Shauna Lynch",134
977498157492,Elle s'appelait Sarah,Tatiana de Rosnay,84
979519711012,The Gunslinger,Stephen King,845
980013028994,El amor en los tiempos del celera,"Gabriel Garcea Merquez, Edith Grossman",1451
981380256479,Speak,Laurie Halse Anderson,117
985341502078,The Husband's Secret ,Liane Moriarty,213
985436576791,Into Thin Air: A Personal Account of the Mt. Everest Disaster,Jon Krakauer,347
985464567815,Carrie,Stephen King,87
989202792509,Running with Scissors,Augusten Burroughs,95
990245052970,World War Z: An Oral History of the Zombie War,Max Brooks,101
991861743101,Inferno,Dan Brown,249
996196312440,Number the Stars,Lois Lowry,79
996711184490,Along Came a Spider,James Patterson,137
997548202305,Misery,Stephen King,235
1006011352151,Sharp Objects,Gillian Flynn,81
1006434894802,Bridge to Terabithia,Katherine Paterson,122
1007478006052,Marked,"P.C. Cast, Kristin Cast",197
1014030981493,The 7 Habits of Highly Effective People,Stephen R. Covey,136
1016263339276,A Midsummer Night's Dream,"William Shakespeare, Barbara A. Mowat, Paul Werstine, Catherine Belsey",125
1017356526573,Extremely Loud and Incredibly Close,Jonathan Safran Foer,97
1019344586678,Wonder,R.J. Palacio,250
1021941688206,The Cat in the Hat,Dr. Seuss,1379
1022029145273,Cinder,Marissa Meyer,104
1022111533540,The Cuckoo's Calling,"Robert Galbraith, J.K. Rowling",124
1025382423633,Shiver,Maggie Stiefvater,99
1025672050498,Atlas Shrugged,"Ayn Rand, Leonard Peikoff",92
1030274640095,Three Cups of Tea ,"Greg Mortenson, David Oliver Relin",48
1034949944285,Alice in Wonderland,"Jane Carruth, Lewis Carroll, Rene Cloke",96
1035520580794,La sombra del viento,"Carlos Ruiz Zafen, Lucia Graves",147
1035846934724,The Scorch Trials,James Dashner,67
1037352797573,How to Win Friends and Influence People,Dale Carnegie,4
1038122073133,Under the Tuscan Sun,Frances Mayes,279
1038414180568,Big Little Lies,Liane Moriarty,107
1041095113391,Ella Enchanted,Gail Carson Levine,353
1041408849084,The Sun Also Rises,Ernest Hemingway,59
1041732940696,A Tree Grows In Brooklyn ,Betty  Smith,107
1045416235802,Kiss the Girls,James Patterson,61
1047033270939,The Nightingale,Kristin Hannah,343
1047626322349,Never Let Me Go,Kazuo Ishiguro,127
1048035905312,"PS, I Love You",Cecelia Ahern,111
1049754829244,Rebecca,"Daphne du Maurier, Sally Beauman",90
1051677884690,Flowers for Algernon,Daniel Keyes,159
1052378258857,Como agua para chocolate,"Laura Esquivel, Thomas  Christensen, Carol Christensen",17
1056458906708,Snow Flower and the Secret Fan,Lisa See,306
1058503686051,The Godfather,"Mario Puzo, Robert Thompson, Peter Bart",163
1061582291387,An Abundance of Katherines,John Green,177
1063234015641,Foundation,Isaac Asimov,105
1063922871055,The Ocean at the End of the Lane,Neil Gaiman,259
1064431939786,A Light in the Attic,Shel Silverstein,116
1064851858562,"Harry Potter and the Cursed Child, Parts One and Two","John Tiffany, Jack Thorne, J.K. Rowling",169
1065883447548,Delirium,Lauren Oliver,109
1066295911306,The Pelican Brief,John Grisham,32
1067291579149,Coraline,Neil Gaiman,95
1068812079662,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch","Terry Pratchett, Neil Gaiman",108
1072327374016,On the Road,Jack Kerouac,145
1073387722822,The Rosie Project,Graeme Simsion,153
1073672557596,The Lucky One,Nicholas Sparks,114
1073937719470,The Fountainhead,"Ayn Rand, Leonard Peikoff",312
1074824543015,The Hunt for Red October,Tom Clancy,122
1075865157638,Watership Down,Richard Adams,99
1076355506877,Is Everyone Hanging Out Without Me,Mindy Kaling,154
1078677519008,Cutting for Stone,Abraham Verghese,117
1078689972164,The Voyage of the Dawn Treader,"C.S. Lewis, Pauline Baynes",193
1082787486697,Treasure Island,Robert Louis Stevenson,18
1082823950230,The Son of Neptune ,Rick Riordan,74
1082837018009,11/22/63,Stephen King,299
1083380263630,The Very Hungry Caterpillar,Eric Carle,2573
1083524494467,Cat's Cradle,Kurt Vonnegut Jr.,69
1085890983055,The Time Machine,"H.G. Wells, Greg Bear, Carlo Pagetti",145
1087906496002,Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,"Todd Burpo, Lynn Vincent",162
1088606294583,The Boy in the Striped Pyjamas,John Boyne,155
1088724595915,Heart of Darkness,Joseph Conrad,1248
1089288460863,Safe Haven,Nicholas Sparks,69
1090195947352,The Secret,Rhonda Byrne,178
1090477775791,I Know This Much Is True ,Wally Lamb,1369
1091485161159,Pet Sematary,Stephen King,117
1092858238232,She's Come Undone,Wally Lamb,113
1095287955082,The Wise Man's Fear,Patrick Rothfuss,52
1096512193653,Can You Keep a Secret,Sophie Kinsella,198
1099739529814,City of Fallen Angels,Cassandra Clare,61
1099887371366,Good in Bed,Jennifer Weiner,102
1100289787612,The Thorn Birds,Colleen McCullough,94
1102118297444,The Graveyard Book,"Neil Gaiman, Dave McKean",96
1103238919469,The Light Between Oceans,M.L. Stedman,71
1103445827529,Tintenherz,"Cornelia Funke, Anthea Bell",201
1104407218468,Who Moved My Cheese,"Spencer Johnson, Kenneth H. Blanchard",129
1109883692176,A Walk in the Woods,Bill Bryson,113
1110807317120,I Know Why the Caged Bird Sings,Maya Angelou,134
1112232513630,Orphan Train,Christina Baker Kline,128
1116909237578,City of Lost Souls,Cassandra Clare,95
1117150186261,"Where'd You Go, Bernadette",Maria Semple,107
1117507258792,Where the Red Fern Grows,Wilson Rawls,65
1119878757864,Neverwhere,Neil Gaiman,101
1126794332671,Nesnesitelne lehkost byte,"Milan Kundera, Michael Henry Heim",78
1128298536065,Fangirl,Rainbow Rowell,69
1132467227457,A Prayer for Owen Meany,John Irving,152
1134349374190,White Oleander,Janet Fitch,274
1135799231885,Legend,Marie Lu,80
1137152131877,Nineteen Minutes,Jodi Picoult,138
1139065687613,The Last Lecture,"Randy Pausch, Jeffrey Zaslow",96
1140764662242,The Eye of the World,Robert Jordan,91
1140996728524,The Pact,Jodi Picoult,84
1143040282599,The magician's nephew,C.S. Lewis,111
1144216516503,Still Alice,Lisa Genova,94
1145416355447,Reflected in You,Sylvia Day,76
1146394176872,James and the Giant Peach,"Roald Dahl, Quentin Blake",312
1147881412080,1st To Die,James Patterson,107
1151163790616,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story,Douglas Adams,81
1151810698789,One Day,David Nicholls,182
1152720716685,Goodnight Moon,"Margaret Wise Brown, Clement Hurd",107
1153659153033,I Am Number Four,Pittacus Lore,32
1154000986064,The Casual Vacancy,J.K. Rowling,129
1154523283493,The Runaway Jury,John Grisham,98
1156706147150,Naked,David Sedaris,38
1157913332818,Eldest,Christopher Paolini,1726
1158351385287,The Wonderful Wizard of Oz,"L. Frank Baum, W.W. Denslow",139
1159031562992,Prince Caspian: The Return to Narnia,C.S. Lewis,120
1163313312678,We Were Liars,E. Lockhart,54
1164264414305,Salem's Lot,Stephen King,163
1165216766665,Fear and Loathing in Las Vegas: A Savage Journey to the Heart of the American Dream,"Hunter S. Thompson, Ralph Steadman",1474
1166655145682,Clockwork Prince,Cassandra Clare,348
1169850315177,Yes Please,Amy Poehler,77
1170682457496,"The Tragedy of Othello, The Moor of Venice",William Shakespeare,211
1171162433825,Beloved,Toni Morrison,98
1174000096685,Graceling,Kristin Cashore,99
1177712005673,The Bad Beginning,"Lemony Snicket, Brett Helquist",29
1180632550323,Im Westen nichts Neues,"Erich Maria Remarque, A.W. Wheen",1053
1182429144555,"Oh, the Places You'll Go!",Dr. Seuss,153
1183759427973,And The Mountains Echoed,Khaled Hosseini,87
1184822414296,Do Androids Dream of Electric Sheep,"Philip K. Dick, Roger Zelazny",126
1185547751074,Oliver Twist,"Charles Dickens, George Cruikshank, Philip Horne",372
1186488604483,A Grief Observed,C.S. Lewis,40
1186637806069,Anna and the French Kiss,Stephanie Perkins,135
1186882517190,How the Grinch Stole Christmas!,Dr. Seuss,221
1192049785319,V for Vendetta,"Alan Moore, David   Lloyd",1787
1192840670539,John Adams,David McCullough,231
1196117415168,Odd Thomas,Dean Koontz,79
1198373467639,The Subtle Knife,Philip Pullman,72
1201753151525,Stargirl,Jerry Spinelli,72
1202110475668,The Red Pyramid,Rick Riordan,38
1202344021811,Stranger in a Strange Land,Robert A. Heinlein,82
1202925834199,Dress Your Family in Corduroy and Denim,David Sedaris,55
1204547993685,The BFG,"Roald Dahl, Quentin Blake",85
1206453580053,A Short History of Nearly Everything,Bill Bryson,76
1207782112726,The Call of the Wild,Jack London,130
1209822048815,The Death Cure,James Dashner,55
1209934595637,Stardust,Neil Gaiman,197
1214519555654,The Namesake,Jhumpa Lahiri,155
1215533963152,A Discovery of Witches,Deborah Harkness,1384
1217972211964,Where the Heart Is,Billie Letts,88
1219378987654,"Will Grayson, Will Grayson","John Green, David Levithan",207
1219383473095,A Million Little Pieces,James Frey,93
1223485284643,Frostbite,Richelle Mead,99
1223565574388,Quiet: The Power of Introverts in a World that Can't Stop Talking,Susan Cain,232
1225231540968,Island of the Blue Dolphins,Scott O'Dell,54
1228024248925,The Crucible,"Arthur Miller, Christopher Bigsby",86
1232753160469,Hatchet,Gary Paulsen,69
1235348003666,Mistborn : The Final Empire,Brandon Sanderson,93
1236281564522,The Strange Case of Dr Jekyll and Mr Hyde,"Robert Louis Stevenson, Vladimir Nabokov, Mervyn Peake, Dan Chaon",86
1240857533159,The Lorax,Dr. Seuss,127
1241428565530,Greg Heffley's Journal,Jeff Kinney,133
1243208095356,Throne of Glass,Sarah J. Maas,93
1244258642949,Shadow Kiss,Richelle Mead,75
1244564365762,For Whom the Bell Tolls,Ernest Hemingway,1974
1245626646147,Hotel on the Corner of Bitter and Sweet,Jamie Ford,40
1246122411269,Das Parfum. Die Geschichte eines Merders,"Patrick Seskind, John E. Woods",115
1246829617427,Fast Food Nation : The Dark Side of the All-American Meal ,Eric Schlosser,73
1248103498557,The Tales of Beedle the Bard,J.K. Rowling,88
1252015431687,Neuromancer,William Gibson,371
1253642857220,A Farewell to Arms,Ernest Hemingway,69
1254172400366,The Tell-Tale Heart,Edgar Allan Poe,364
1256093199151,Defending Jacob,William Landay,61
1260020685316,Breakfast of Champions,Kurt Vonnegut Jr.,131
1260397495611,Drawing on the Right Side of the Brain,Betty Edwards,143
1260808662389,Bel Canto,Ann Patchett,425
1266176083090,"Guns, Germs, and Steel: The Fates of Human Societies",Jared Diamond,12
1267629627902,Fried Green Tomatoes at the Whistle Stop Cafe,Fannie Flagg,1865
1267674015517,Things Fall Apart,Chinua Achebe,76
1268995748192,The Undomestic Goddess,Sophie Kinsella,112
1273189045966,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Gary Chapman,64
1279103453253,Les Trois Mousquetaires,Alexandre Dumas,77
1281483638989,The Other Hand,Chris Cleave,118
1281606864898,Evermore,Alyson Noel,94
1283153227829,The Witches,"Roald Dahl, Quentin Blake",161
1283704255819,The Thirteenth Tale,Diane Setterfield,99
1287455759759,Spirit Bound,Richelle Mead,147
1289451079761,Blood Promise,Richelle Mead,1341
1291568403290,Message in a Bottle,Nicholas Sparks,82
1294238644033,The Paris Wife,Paula McLain,78
1294574567750,Complete Harry Potter Boxed Set,J.K. Rowling,174
1294640038321,The Elite,Kiera Cass,137
1294709660869,Il nome della rosa,"Umberto Eco, William Weaver, Seen Barrett",71
1296062914527,Go Ask Alice,"Beatrice Sparks, Anonymous",76
1298449346654,A Confederacy of Dunces,"John Kennedy Toole, Walker Percy",133
1301655492502,The Importance of Being Earnest,Oscar Wilde,77
1301860680998,The Mark of Athena,Rick Riordan,76
1302106825489,The Colour of Magic,Terry Pratchett,84
1303465285821,Red Dragon,Thomas Harris,428
1304094239128,"I, Robot",Isaac Asimov,92
1305440629869,Dark Lover,J.R. Ward,131
1307763513442,Crescendo,Becca Fitzpatrick,728
1308008444333,Before I Fall,Lauren Oliver,65
1309681648156,The God of Small Things,Arundhati Roy,153
1312697045906,The Invention of Wings,Sue Monk Kidd,157
1313827169677,What Alice Forgot,Liane Moriarty,191
1317927397391,A Brief History of Time: From the Big Bang to Black Holes,"Stephen Hawking, Cao Chi, Ph",218
1318508487752,Fall of Giants,Ken Follett,73
1319064393367,Under the Dome,Stephen King,73
1320591597971,Snow Crash,Neal Stephenson,82
1321602692148,Just Listen,Sarah Dessen,168
1322090958282,Winnie-the-Pooh,"A.A. Milne, Ernest H. Shepard",63
1322972830174,Before I Go to Sleep,S.J. Watson,68
1326140479737,A Study in Scarlet,Arthur Conan Doyle,246
1334747845400,Brisingr,Christopher Paolini,140
1335959385460,The Purpose Driven Life: What on Earth am I Here For,Rick Warren,110
1337196382641,Betrayed: a House of Night Novel,"P.C. Cast, Kristin Cast",80
1337834795690,Storm Front,Jim Butcher,61
1337897303474,Northanger Abbey,"Jane Austen, Alfred MacAdam",244
1343929994179,The 5th Wave,Rick Yancey,150
1344386426731,Cold Mountain,Charles Frazier,1106
1350664900436,Something Blue,Emily Giffin,143
1352185931349,A Streetcar Named Desire,Tennessee Williams,149
1353184629730,The Historian,Elizabeth Kostova,80
1356106201793,Station Eleven,Emily St. John Mandel,75
1358577892709,En man som heter Ove,"Fredrik Backman, Henning Koch",122
1366757632990,Clockwork Princess,Cassandra Clare,102
1369189175782,The Good Earth,Pearl S. Buck,97
1369334318844,Ways of Seeing,John Berger,41
1370209203854,Dragonfly in Amber,Diana Gabaldon,43
1379499348220,Holy Bible: King James Version,Anonymous,109
1380066094918,In Her Shoes,Jennifer Weiner,129
1380442588975,The Hobbit,"Chuck Dixon, J.R.R. Tolkien, David Wenzel, Sean Deming",63
1383154825362,The Brief Wondrous Life of Oscar Wao,Junot Deaz,132
1384155493513,Their Eyes Were Watching God,Zora Neale Hurston,79
1384448074975,Fantastic Beasts and Where to Find Them,"Newt Scamander, J.K. Rowling, Albus Dumbledore",210
1388524490015,I Am Malala: The Girl Who Stood Up for Education and Was Shot by the Taliban,"Malala Yousafzai, Christina Lamb",34
1388795635969,Mansfield Park,"Jane Austen, Kathryn Sutherland, Tony Tanner, Claire Lamont",141
1391274596533,etrotzdem Ja zum Leben sagen: Ein Psychologe erlebt das Konzentrationslager,Viktor E. Frankl,1449
1391307876665,In the Woods,Tana French,53
1397439724771,The God Delusion,Richard Dawkins,44
1398328004830,Where She Went,Gayle Forman,9
1400960057984,The World According to Garp,John Irving,80
1407468509583,Killing Floor,Lee Child,123
